#,Visible?,Starred?,Bio View:1107 Proteins in 1006 Clusters,Accession Number,Molecular Weight,Protein Grouping Ambiguity,Fisher's Exact Test (p-value)*(p < 0.00375),Quantitative Profile,C1,PX1-I,PX2,PX1-P
,TRUE,Empty,Cluster of Isoform 3 of Myosin-11 OS=Homo sapiens OX=9606 GN=MYH11 (sp|P35749-3|MYH11_HUMAN),sp|P35749-3|MYH11_HUMAN [7],224 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",959,987,1303,785
,TRUE,Empty,    Isoform 3 of Myosin-11 OS=Homo sapiens OX=9606 GN=MYH11,sp|P35749-3|MYH11_HUMAN,224 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",759,753,1107,599
,TRUE,Empty,    Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,sp|P35579|MYH9_HUMAN,227 kDa,TRUE,0.52,[],271,251,303,256
,TRUE,Empty,    Isoform 2 of Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10,sp|P35580-2|MYH10_HUMAN (+4),231 kDa,TRUE,0.16,[],97,88,136,98
,TRUE,Empty,Cluster of Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2 (TBB5_HUMAN),TBB5_HUMAN [7],50 kDa,TRUE,0.44,[],716,638,767,570
,TRUE,Empty,    Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,TBB5_HUMAN,50 kDa,TRUE,0.49,[],498,458,536,405
,TRUE,Empty,    Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,TBB4A_HUMAN,50 kDa,TRUE,0.49,[],461,430,502,385
,TRUE,Empty,    Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,TBB4B_HUMAN,50 kDa,TRUE,0.47,[],484,435,525,399
,TRUE,Empty,    Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,TBB6_HUMAN,50 kDa,TRUE,0.31,[],202,149,181,128
,TRUE,Empty,    Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1,A0A0B4J269_HUMAN,88 kDa,TRUE,0.3,[],,265,328,246
,TRUE,Empty,    Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,TBB2A_HUMAN,50 kDa,TRUE,0.28,[],392,345,395,306
,TRUE,Empty,    Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,TBB2B_HUMAN,50 kDa,TRUE,0.33,[],390,343,395,306
,TRUE,Empty,Cluster of Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1 (sp|P68363|TBA1B_HUMAN),sp|P68363|TBA1B_HUMAN [3],50 kDa,TRUE,0.23,[],571,683,644,599
,TRUE,Empty,    Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1,sp|P68363|TBA1B_HUMAN,50 kDa,TRUE,0.38,[],538,662,600,568
,TRUE,Empty,    Isoform 2 of Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A,sp|P68366-2|TBA4A_HUMAN (+1),48 kDa,TRUE,0.25,[],383,478,447,416
,TRUE,Empty,Cluster of Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4 (sp|P14618|KPYM_HUMAN),sp|P14618|KPYM_HUMAN [2],58 kDa,TRUE,0.0011,"Control high, PEX eye - bi low",614,452,554,769
,TRUE,Empty,    Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,sp|P14618|KPYM_HUMAN,58 kDa,TRUE,0.029,[],601,449,538,764
,TRUE,Empty,    Isoform M1 of Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM,sp|P14618-2|KPYM_HUMAN,58 kDa,TRUE,0.0085,[],542,373,477,630
,TRUE,Empty,Cluster of Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=HIST1H2BC PE=1 SV=4 (H2B1C_HUMAN),H2B1C_HUMAN [9],14 kDa,TRUE,0.0043,[],419,479,378,523
,TRUE,Empty,    Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=HIST1H2BC PE=1 SV=4,H2B1C_HUMAN (+8),14 kDa,TRUE,0.0047,[],419,479,378,523
,TRUE,Empty,Isoform 2 of Filamin-A OS=Homo sapiens OX=9606 GN=FLNA,sp|P21333-2|FLNA_HUMAN (+1),280 kDa,TRUE,0.029,[],502,642,477,425
,TRUE,Empty,Retinal dehydrogenase 1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2,AL1A1_HUMAN,55 kDa,TRUE,0.11,[],354,433,348,763
,TRUE,Empty,Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2,CRYAB_HUMAN,20 kDa,,0.037,[],191,341,174,938
,TRUE,Empty,Biglycan OS=Homo sapiens OX=9606 GN=BGN PE=1 SV=2,PGS1_HUMAN,42 kDa,TRUE,0.028,[],385,483,475,389
,TRUE,Empty,Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2,ANXA5_HUMAN,36 kDa,,0.51,[],441,365,475,441
,TRUE,Empty,Cluster of Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2 (sp|Q99536|VAT1_HUMAN),sp|Q99536|VAT1_HUMAN,42 kDa,TRUE,0.01,[],406,431,371,468
,TRUE,Empty,    Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2,sp|Q99536|VAT1_HUMAN,42 kDa,TRUE,0.013,[],406,431,371,468
,TRUE,Empty,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,sp|P07355|ANXA2_HUMAN,39 kDa,,0.14,[],344,389,402,364
,TRUE,Empty,Alpha-crystallin A2 chain OS=Homo sapiens OX=9606 GN=CRYAA2 PE=1 SV=1,sp|A0A140G945|CRYA2_HUMAN,20 kDa,,0.19,[],11,208,6,1172
,TRUE,Empty,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",K2C1_HUMAN,66 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",195,120,725,552
,TRUE,Empty,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,sp|P00558|PGK1_HUMAN,45 kDa,,< 0.00010,"Control high, PEX eye - bi low",374,366,281,307
,TRUE,Empty,Cluster of Isoform 2 of Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 (sp|P12111-2|CO6A3_HUMAN),sp|P12111-2|CO6A3_HUMAN [4],321 kDa,TRUE,0.13,[],359,317,422,216
,TRUE,Empty,    Isoform 2 of Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3,sp|P12111-2|CO6A3_HUMAN (+1),321 kDa,TRUE,0.14,[],359,317,422,216
,TRUE,Empty,    Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=2,E7ENL6_HUMAN (+1),278 kDa,TRUE,0.54,[],359,315,422,216
,TRUE,Empty,Cluster of Histone H2A OS=Homo sapiens OX=9606 GN=hCG_2039566 PE=3 SV=1 (A0A0U1RR32_HUMAN),A0A0U1RR32_HUMAN [12],18 kDa,TRUE,0.071,[],430,288,422,417
,TRUE,Empty,    Histone H2A OS=Homo sapiens OX=9606 GN=hCG_2039566 PE=3 SV=1,A0A0U1RR32_HUMAN (+7),18 kDa,TRUE,0.23,[],376,274,384,361
,TRUE,Empty,    Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=HIST1H2AB PE=1 SV=2,H2A1B_HUMAN (+2),14 kDa,TRUE,0.011,[],385,264,362,346
,TRUE,Empty,    Histone H2AX OS=Homo sapiens OX=9606 GN=H2AFX PE=1 SV=2,H2AX_HUMAN,15 kDa,TRUE,0.05,[],62,176,100,221
,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,sp|P62937|PPIA_HUMAN,18 kDa,,0.0077,[],273,335,239,384
,TRUE,Empty,"Cluster of Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6 (K1C10_HUMAN)",K1C10_HUMAN [4],59 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",140,64,575,436
,TRUE,Empty,"    Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",K1C10_HUMAN,59 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",140,64,528,415
,TRUE,Empty,"    Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",K1C14_HUMAN,52 kDa,TRUE,0.0009,"Control low, PEX eye - bi high",,,43,26
,TRUE,Empty,"    Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",K1C16_HUMAN,51 kDa,TRUE,0.04,[],,,29,22
,TRUE,Empty,"    Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",K1C17_HUMAN,48 kDa,TRUE,0.43,[],,,16,18
,TRUE,Empty,Isoform 2 of Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1,sp|P60174-1|TPIS_HUMAN (+1),27 kDa,,< 0.00010,"Control high, PEX eye - bi low",291,278,217,329
,TRUE,Empty,Cluster of Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2 (sp|P06733|ENOA_HUMAN),sp|P06733|ENOA_HUMAN,47 kDa,TRUE,0.021,[],294,276,276,343
,TRUE,Empty,    Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,sp|P06733|ENOA_HUMAN,47 kDa,TRUE,0.021,[],294,276,276,343
,TRUE,Empty,Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2,GSTP1_HUMAN,23 kDa,,0.0055,[],230,226,193,257
,TRUE,Empty,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",ATPB_HUMAN,57 kDa,,0.21,[],301,172,348,205
,TRUE,Empty,Cluster of Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3 (TRFE_HUMAN),TRFE_HUMAN,77 kDa,TRUE,0.014,[],131,430,105,321
,TRUE,Empty,    Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3,TRFE_HUMAN,77 kDa,TRUE,0.014,[],131,430,105,321
,TRUE,Empty,Prolargin OS=Homo sapiens OX=9606 GN=PRELP PE=1 SV=1,PRELP_HUMAN,44 kDa,,0.17,[],272,260,268,179
,TRUE,Empty,"Cluster of Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2 (sp|Q01082|SPTB2_HUMAN)",sp|Q01082|SPTB2_HUMAN,275 kDa,TRUE,0.0023,"Control high, PEX eye - bi low",268,224,224,231
,TRUE,Empty,"    Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",sp|Q01082|SPTB2_HUMAN,275 kDa,TRUE,0.0023,"Control high, PEX eye - bi low",268,224,224,231
,TRUE,Empty,"Isoform 3 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1",sp|Q13813-3|SPTN1_HUMAN,282 kDa,,0.3,[],231,209,233,240
,TRUE,Empty,Isoform 2 of Transmembrane glycoprotein NMB OS=Homo sapiens OX=9606 GN=GPNMB,sp|Q14956-2|GPNMB_HUMAN (+1),63 kDa,TRUE,0.088,[],181,96,226,413
,TRUE,Empty,Cluster of Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1 (sp|P02545|LMNA_HUMAN),sp|P02545|LMNA_HUMAN,74 kDa,TRUE,0.052,[],200,215,253,165
,TRUE,Empty,    Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,sp|P02545|LMNA_HUMAN,74 kDa,TRUE,0.052,[],200,215,253,165
,TRUE,Empty,Cluster of Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1 (RAB1B_HUMAN),RAB1B_HUMAN [14],22 kDa,TRUE,0.4,[],191,204,213,230
,TRUE,Empty,    Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1,RAB1B_HUMAN,22 kDa,TRUE,0.51,[],100,86,118,118
,TRUE,Empty,    Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,RAB14_HUMAN,24 kDa,TRUE,0.21,[],50,56,44,64
,TRUE,Empty,    Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3,sp|P62820|RAB1A_HUMAN,23 kDa,TRUE,0.39,[],77,74,94,104
,TRUE,Empty,    Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1,RAB10_HUMAN,23 kDa,TRUE,0.46,[],40,32,45,42
,TRUE,Empty,    Ras-related protein Rab-4B OS=Homo sapiens OX=9606 GN=RAB4B PE=1 SV=1,sp|P61018|RAB4B_HUMAN,24 kDa,TRUE,0.51,[],16,11,19,28
,TRUE,Empty,    Ras-related protein Rab-8B (Fragment) OS=Homo sapiens OX=9606 GN=RAB8B PE=1 SV=1,H0YNE9_HUMAN (+1),22 kDa,TRUE,0.45,[],29,30,41,47
,TRUE,Empty,    Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1,sp|P61006|RAB8A_HUMAN,24 kDa,TRUE,0.45,[],29,30,41,46
,TRUE,Empty,    Ras-related protein Rab-4A OS=Homo sapiens OX=9606 GN=RAB4A PE=1 SV=3,RAB4A_HUMAN,24 kDa,TRUE,0.5,[],,8,18,23
,TRUE,Empty,    Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1,RAB13_HUMAN,23 kDa,TRUE,0.43,[],,15,23,19
,TRUE,Empty,    Ras-related protein Rab-43 OS=Homo sapiens OX=9606 GN=RAB43 PE=1 SV=1,sp|Q86YS6|RAB43_HUMAN,23 kDa,TRUE,0.5,[],,8,,23
,TRUE,Empty,    Ras-related protein Rab-12 OS=Homo sapiens OX=9606 GN=RAB12 PE=1 SV=3,RAB12_HUMAN,27 kDa,TRUE,0.5,[],,,16,22
,TRUE,Empty,    Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1,F5H157_HUMAN (+1),21 kDa,TRUE,0.42,[],23,19,33,35
,TRUE,Empty,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3,sp|P08133|ANXA6_HUMAN,76 kDa,,0.38,[],200,210,226,160
,TRUE,Empty,Cluster of Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2 (HSPB1_HUMAN),HSPB1_HUMAN,23 kDa,TRUE,0.49,[],152,225,168,161
,TRUE,Empty,    Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,HSPB1_HUMAN,23 kDa,TRUE,0.49,[],152,225,168,161
,TRUE,Empty,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",K1C9_HUMAN,62 kDa,,< 0.00010,"Control low, PEX eye - bi high",114,32,332,313
,TRUE,Empty,Putative elongation factor 1-alpha-like 3 OS=Homo sapiens OX=9606 GN=EEF1A1P5 PE=5 SV=1,EF1A3_HUMAN (+1),50 kDa,,0.029,[],124,207,170,168
,TRUE,Empty,"Cluster of Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2 (K22E_HUMAN)",K22E_HUMAN [9],65 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",140,66,478,296
,TRUE,Empty,"    Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",K22E_HUMAN,65 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",109,46,391,273
,TRUE,Empty,"    Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",K2C5_HUMAN,62 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",49,28,118,63
,TRUE,Empty,    Glial fibrillary acidic protein (Fragment) OS=Homo sapiens OX=9606 GN=GFAP PE=1 SV=1,A0A1W2PQU7_HUMAN,3 kDa,TRUE,0.22,[],10,4,13,2
,TRUE,Empty,"    Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",K2C6A_HUMAN (+1),60 kDa,TRUE,0.008,[],,26,104,66
,TRUE,Empty,"    Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=2 SV=3",K2C1B_HUMAN,62 kDa,TRUE,0.5,[],,12,88,48
,TRUE,Empty,"    Isoform 2 of Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72",sp|Q14CN4-2|K2C72_HUMAN (+2),56 kDa,TRUE,0.58,[],,,18,
,TRUE,Empty,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,sp|P04075|ALDOA_HUMAN,39 kDa,TRUE,0.054,[],151,357,134,137
,TRUE,Empty,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4,PGBM_HUMAN,469 kDa,,0.067,[],204,161,256,125
,TRUE,Empty,Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2,LEG1_HUMAN,15 kDa,,0.092,[],203,122,191,234
,TRUE,Empty,Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4,sp|P06744|G6PI_HUMAN,63 kDa,,0.0011,"Control high, PEX eye - bi low",193,156,145,168
,TRUE,Empty,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2,IGKC_HUMAN,12 kDa,,0.3,[],154,196,155,204
,TRUE,Empty,Cluster of Immunoglobulin heavy constant gamma 1 (Fragment) OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1 (A0A0A0MS08_HUMAN),A0A0A0MS08_HUMAN [6],44 kDa,TRUE,0.076,[],133,163,116,243
,TRUE,Empty,    Immunoglobulin heavy constant gamma 1 (Fragment) OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1,A0A0A0MS08_HUMAN (+1),44 kDa,TRUE,0.52,[],87,92,82,153
,TRUE,Empty,    Immunoglobulin heavy constant gamma 4 (Fragment) OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1,A0A286YFJ8_HUMAN (+1),44 kDa,TRUE,0.0079,[],74,79,39,95
,TRUE,Empty,    Immunoglobulin heavy constant gamma 2 (Fragment) OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=1,A0A286YEY4_HUMAN (+1),44 kDa,TRUE,0.48,[],39,56,35,72
,TRUE,Empty,Cluster of Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 (HBB_HUMAN),HBB_HUMAN [2],16 kDa,TRUE,0.47,[],181,113,199,186
,TRUE,Empty,    Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2,HBB_HUMAN,16 kDa,TRUE,0.41,[],173,113,199,186
,TRUE,Empty,    Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2,HBD_HUMAN,16 kDa,TRUE,0.39,[],55,35,77,68
,TRUE,Empty,Cluster of L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2 (sp|P00338|LDHA_HUMAN),sp|P00338|LDHA_HUMAN,37 kDa,TRUE,0.16,[],148,136,180,206
,TRUE,Empty,    L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,sp|P00338|LDHA_HUMAN,37 kDa,TRUE,0.17,[],148,136,180,206
,TRUE,Empty,Isoform 2 of Gelsolin OS=Homo sapiens OX=9606 GN=GSN,sp|P06396-2|GELS_HUMAN,81 kDa,,0.078,[],162,211,147,156
,TRUE,Empty,Cluster of 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1 (sp|P62258|1433E_HUMAN),sp|P62258|1433E_HUMAN [7],29 kDa,TRUE,0.0041,[],148,189,114,208
,TRUE,Empty,    14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,sp|P62258|1433E_HUMAN,29 kDa,TRUE,0.13,[],51,74,73,97
,TRUE,Empty,    14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,sp|P63104|1433Z_HUMAN,28 kDa,TRUE,0.11,[],58,60,50,83
,TRUE,Empty,    14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,1433G_HUMAN,28 kDa,TRUE,0.031,[],41,46,28,36
,TRUE,Empty,    14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1,1433T_HUMAN,28 kDa,TRUE,0.088,[],30,29,25,35
,TRUE,Empty,    Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB,sp|P31946-2|1433B_HUMAN,28 kDa,TRUE,0.0028,"Control high, PEX eye - bi low",38,36,21,34
,TRUE,Empty,    14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,1433F_HUMAN,28 kDa,TRUE,0.072,[],28,24,,28
,TRUE,Empty,    14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,sp|P31947|1433S_HUMAN,28 kDa,TRUE,0.5,[],,,22,
,TRUE,Empty,Cluster of Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 (sp|P07900-2|HS90A_HUMAN),sp|P07900-2|HS90A_HUMAN [3],98 kDa,TRUE,0.039,[],104,138,87,273
,TRUE,Empty,    Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1,sp|P07900-2|HS90A_HUMAN (+1),98 kDa,TRUE,0.46,[],85,103,80,244
,TRUE,Empty,    Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,HS90B_HUMAN,83 kDa,TRUE,0.009,[],72,100,47,219
,TRUE,Empty,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,TERA_HUMAN,89 kDa,,0.12,[],159,157,152,144
,TRUE,Empty,"Cluster of Isoform 2 of Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL (sp|P06737-2|PYGL_HUMAN)",sp|P06737-2|PYGL_HUMAN [4],93 kDa,TRUE,0.0051,[],197,84,159,170
,TRUE,Empty,"    Isoform 2 of Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL",sp|P06737-2|PYGL_HUMAN (+1),93 kDa,TRUE,< 0.00010,"Control high, PEX eye - bi low",144,44,68,80
,TRUE,Empty,"    Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5",PYGB_HUMAN,97 kDa,TRUE,0.067,[],75,49,96,100
,TRUE,Empty,"    Glycogen phosphorylase, muscle form OS=Homo sapiens OX=9606 GN=PYGM PE=1 SV=6",sp|P11217|PYGM_HUMAN,97 kDa,TRUE,0.15,[],26,23,31,16
,TRUE,Empty,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3,PEBP1_HUMAN,21 kDa,,0.15,[],164,132,157,160
,TRUE,Empty,Cluster of Isoform Smooth muscle of Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 (sp|P60660-2|MYL6_HUMAN),sp|P60660-2|MYL6_HUMAN [3],17 kDa,TRUE,0.22,[],151,98,182,171
,TRUE,Empty,    Isoform Smooth muscle of Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6,sp|P60660-2|MYL6_HUMAN,17 kDa,TRUE,0.39,[],151,98,182,167
